ชื่อสินค้า,ราคา
ซูเปอเชฟ เป็ดตัวแบบแผ่หมักเกลือ แช่แข็ง 1.6 กก.,239.00
ซีพี เป็ดสดล้วงเครื่องใน แช่แข็ง ไซต์ M,346.00
มาสเตอร์เชฟ สันคอแท่งพร้อมสไลซ์ 3000 กรัม,860.00
ซูเปอร์เชฟ หมูเด้งผสมไก่พร้อมปรุง แช่แข็ง 1 กก.,95.00
มาสเตอร์เชฟ สามชั้นแท่งพร้อมสไลซ์ 3000 กรัม,880.00
ซีพี ขาเป็ด แช่แข็ง กก.ละ,59.00
ซีพี ขาหลังเผา กก. ละ,145.00
ซีพี มันแข็ง กก.ละ,84.00
ARO-G สันนอกสเต็กแช่แข็ง US CHOICE 200 ก.,270.00
ARO-G ใบพายวัวสไลซ์แช่แข็ง AUSTRALIA 500 ก.,289.00
ซุปเปอร์เอ้กซ์ ไก่หมักกระเทียม แช่แข็ง 700 ก.,120.00
ซีพี บั้นท้ายเป็ด แช่แข็ง กก.ละ,94.00
ซีพี น่องติดสะโพกไก่ แช่แข็ง 2 กก.,249.00
ตับไก่เสียบไม้พร้อมปรุง แช่แข็ง 10 ไม้,59.00
หัวใจไก่เสียบไม้พร้อมปรุง แช่แข็ง 10 ไม้,59.00
ไก่เสียบไม้ รสบาร์บีคิว แช่แข็ง 10 ไม้,105.00
ซีพี ไก่สดล้วงพร้อมเครื่องใน 1.6-1.8 กก.,198.00
ซีพี อกไก่บด แช่แข็ง กก.ละ,100.00
ซีพี ปีกปลายเป็ด แช่แข็ง กก.ละ,89.00
ซุปเปอร์เอ้กซ์ ไก่หมักสูตรนมสด แช่แข็ง 700 ก.,120.00
ซีพี ไก่สดล้วงพร้อมเครื่องใน 1.8-2.0 กก. ตัวละ,219.00
ซีพี ไก่สดล้วงพร้อมเครื่องใน 1.8-2.0 กก.,122.00
ซีพี น่องติดสะโพกไก่บด แช่แข็ง กก.ละ,112.00
ซูเปอร์เชฟ ไก่บด แช่แข็ง กก.ละ,80.00
ซีพี เป็ดล้วง แช่แข็ง M,300.00
เอ็นข้อไก่ รสแหนม แช่แข็ง 300 ก.,85.00
ซีพี เป็ดหั่นชิ้น แช่แข็ง กก.ละ,112.00
ARO น่องเป็ด แช่แข็ง กก.ละ,169.00
ซีพี เป็ดสดอนามัย แช่แข็ง M,239.00
ซีพี หนังไก่แช่แข็ง กก.ละ,67.00
