ชื่อสินค้า,ราคา
ซีพี ขาหลังเผา กก. ละ,145.00
ซีพี มันแข็ง กก.ละ,84.00
ซูเปอร์เชฟ สามชั้นสไลซ์ แช่แข็ง 150 กรัม แพ็ค 3,129.00
ซูเปอร์เชฟ หมูบดอนามัย แช่แข็ง 200 กรัม แพ็ค 3,129.00
ซูเปอร์เชฟ สันคอสไลซ์ แช่แข็ง 150 กรัม แพ็ค 3,129.00
ซูเปอร์เชฟ หมูเด้ง แช่แข็ง 220 กรัม แพ็ค 3,119.00
ซีพี ซี่โครงหมูหั่นชิ้น-TMF 250 กรัม,65.00
ซีพี ซี่โครงอ่อนหมูหั่นชิ้น-TMF250 กรัม,76.00
ซีพี สันนอกสไลด์ กก. ละ,184.00
ซีพี เศษคากิ กก. ละ,75.00
ซีพี คากิ (ข้อสอง) กก. ละ,91.00
ซีพี หมุบดปนมัน 10% กก. ละ,150.00
ซีพี เนื้อขาเลาะ กก. ละ,150.00
ซีพี กระโหลกหมู กก.ละ,41.00
ซีพี สะโพกสไลด์ กก. ละ,184.00
ซีพี เศษสามชั้นสไลด์ กก. ละ,180.00
ซีพี สันในหมูอนามัย 1 กก.,239.00
ยูฟาร์ม พอร์คช็อปชีวา 250 กรัม,69.00
ยูฟาร์ม ซี่โครงอ่อนหมูชีวาสไลซ์ 330 กรัม,79.00
โลตัส พอร์คช็อปสเต็ก 350 กรัม,65.00
ซีพี กระดูกอ่อนไหล่ กก. ละ,252.00
ซีพี ชิ้นมันคอ กก. ละ,85.00
ซีพี กระดูกข้อ (คาตั๊ง) กก. ละ,95.00
ซีพี หมูบดเบอร์ กก. ละ,120.00
ซีพี กระดูกซุปหั่นชิ้นอนามัย 1 กก.,105.00
ยูฟาร์ม ซี่โครงหมูชีวา 350 กรัม,75.00
ซีพี ชิ้นเนื้อหมูดี กก. ละ,182.00
ซีพี ขาหน้าเผา กก. ละ,136.00
ซีพี ซีเลคชั่น สันคอสไลซ์ 200 กรัม,69.00
ซีพี เนื้อไหล่ตัดชิ้น แช่แข็ง กก.ละ,140.00
ซีพี สะโพกหมูตัดชิ้น แช่แข็ง กก.ละ,139.00
ซีพี ไส้ตัน กก. ละ,260.00
ซีพี กระดูกซุป หั่นชิ้น กก. ละ,62.00
ซีพี หมูสามชั้นสไลซ์อนามัย 500 กรัม,109.00
ซีพี คุโรบูตะ หมูบดอนามัย 1 กก.,239.00
ซีพีหมูบด กก.ละ,124.00
ซีพี สันนอก กก. ละ,180.00
ซีพี หมูชำแหละไม่รวมหัวเครื่องใน กก. ละ,169.00
ยูฟาร์ม สันคอหมูชีวา 250 กรัม,85.00
ยูฟาร์ม สันนอกหมูชีวา 250 กรัม,59.00
หมูบดปนมัน 50% กก. ละ,135.00
ซีพี หนังสะโพกติดมัน กก. ละ,86.00
